"content_id","user_id","category","content_type","reaction_type","date","time","score"
"8bcb980c-6f36-484d-974f-30b3e8fcc251","29ba1f29-2e45-41bd-9c43-05d0dae6c1c6","travel","photo","like","2021-04-27","03:20:00",50
"03e51c25-cba9-471b-b627-f15550b83fca","77908afa-eff6-49a9-b042-04fff799a0ff","veganism","GIF","adore","2021-06-16","00:32:00",72
"c136ae25-d882-4e2c-b515-5727ad2626a5","de1d478e-3552-4223-b039-d3086cc485ec","soccer","photo","intrigued","2020-11-28","06:38:00",45
"c5e2d733-94b9-4259-85e8-6fb7a95a1887","192a526b-4952-4bda-b659-4661dab12716","tennis","audio","super love","2020-10-26","05:33:00",75
"1dec5263-8a54-43fb-bfbe-a388d2919e74","c1c53b8c-b6a8-4343-a369-4a0595a97807","food","GIF","love","2021-04-05","05:17:00",65
"d539c60f-9967-44b0-a11e-26d5dfa43884","fd4da61a-5102-4311-8b9f-2ec57bfac6b1","fitness","GIF","heart","2020-11-08","05:25:00",60
"a3e93c2d-7fb4-4881-994d-ee20ad564924","317c70d5-fe65-4663-afb1-150108e0e55c","public speaking","video","adore","2020-08-10","10:44:00",72
"be85274a-28f1-4c6d-9ea1-7b20d1e0c66f","9ce133df-bd87-4559-96d7-a402add824ca","culture","photo","indifferent","2021-01-04","11:48:00",20
"1b7d1f70-21dd-483b-b395-e15f4c2368f1","bec3a622-1373-49c2-9d57-e0281c34f5cf","animals","photo","cherish","2021-01-12","08:14:00",70
"8ec8db61-8bea-440b-88ee-f1f593eb4a7f","b8c653b5-0118-4d7e-9bde-07c2de90f0ff","education","photo","interested","2020-10-11","21:43:00",30
"61e6650c-5068-4575-9aee-4217ef3dbdb1","568e7c6f-b1e9-4a85-897c-aaaaa0ce8832","tennis","GIF","adore","2021-01-27","06:59:00",72
"a4067fb5-3ba8-4f97-87c2-ddad5e4029c2","4793cc6d-be60-42cc-bfd4-7ce8fd4d0eab","food","GIF","peeking","2021-02-03","11:48:00",35
"ec69ad7c-c57b-4d10-ad0f-930ff10bf687","b0c22f82-b882-4394-bf27-6dfadf26e5c2","science","video","dislike","2021-05-06","07:54:00",10
"985f4b4f-de40-4a4e-a090-01e100be42e9","f50ac030-3af8-4e07-aacf-dccff353b8f6","travel","GIF","heart","2020-08-21","17:45:00",60
"7286f9d2-7c83-4c7b-bc01-6f56eb0235de","92b87fa5-f271-43e0-af66-84fac21052e6","travel","video","like","2020-06-20","03:55:00",50
"4bfc9824-aaeb-4695-8195-945686795b30","72d2587e-8fae-4626-a73d-352e6465ba0f","public speaking","video","heart","2020-08-07","21:02:00",60
"80f6df7f-517f-4f0e-b6cb-004d61ad2bc8","877ce8ba-564f-4b86-9cdc-94a93d9a7997","animals","photo","cherish","2021-04-10","18:07:00",70
"811834bf-44bf-47f3-ae30-e305591177d6","de1d478e-3552-4223-b039-d3086cc485ec","animals","GIF","indifferent","2020-12-15","10:46:00",20
"0adb9a94-210a-4e84-bca1-13db9452ff0e","f3eb7ee0-7788-43a0-9686-1c399260b17e","healthy eating","video","adore","2021-06-04","07:13:00",72
"3fc1f583-ce7e-4cfe-b891-d16976953fda","8f41c07f-db4f-44f3-ae81-1f99cee047eb","science","GIF","indifferent","2021-04-30","02:15:00",20
